pathway	description	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV	2116.007	3887.5478	8366.9924	2123.2386	3758.2244	2369.1333	2828.5236	3683.5556	1120.0472	2839.6028	2862.8856	5248.3932	7029.0294	2813.4837	4336.1521	2729.2466	6036.7981	2995.508	2621.0226	2383.5773	6161.9919	3141.5669	2881.8404	5561.8892	5659.9393	5850.9923	7714.103	4631.5607	3507.5536	2716.7855	2733.2836	2178.5943	3875.3697	2950.6165	4649.6508	3735.8502	1984.1051	4149.2255	3257.4209	4081.8748	2885.1116	3400.3751	3219.5831	2233.7586	1550.3735	2466.6021	2801.4302
PWY-7199	pyrimidine deoxyribonucleosides salvage	9207.5443	12002.0092	12064.111	12508.4751	9993.4769	14159.2253	14549.6404	13360.985	12906.5547	11851.0555	13726.7527	13318.7763	17743.69	16011.203000000001	13935.1169	16696.9032	12619.5945	13253.1375	14581.0433	15635.4932	11411.2535	16516.8952	16988.7095	11967.0414	12010.087	15817.3353	13826.8514	9442.4896	15374.3038	9771.5092	9358.6225	9588.8273	11010.1522	12109.6039	10688.0965	21491.8741	21321.7358	17759.1928	15755.9008	10959.0546	11352.8333	8635.043	9622.0169	13647.4428	8560.2489	14986.6319	18911.4522
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	3477.5619	6053.4548	9290.0494	4958.1165	4504.6401	4651.8529	4086.8795	5085.6826	6077.7461	4028.0919	5314.7479	7128.5518	9554.6595	3944.6431	5634.7262	4180.893	7566.2811	4974.3882	3640.3186	5879.6618	6765.281999999999	4427.7932	4460.6101	6743.8077	6917.0107	9427.084	10355.304	8855.5805	5268.9798	3579.1054	3717.3031	3857.0945	4959.9557	4030.8477	5963.9707	9558.7086	9696.8271	9036.743	8829.9486	5593.1273	4016.7455	6460.2583	5941.1661	3797.1092	2159.4566	3725.9192	7022.5732
PWY-7208	superpathway of pyrimidine nucleobases salvage	46577.4011	35801.6563	33864.2278	41872.1867	41285.1552	37615.8135	44072.6001	42554.6316	39912.7891	42431.7576	31010.2596	41555.3948	37039.6086	44688.2676	42482.9782	42713.7418	36802.0853	29278.7594	42147.9425	33860.5062	41394.3262	38579.9844	37189.2002	38550.9877	42552.9158	37791.1947	34523.7737	31430.0761	37484.1986	44958.6337	44760.9934	45422.2997	45190.8448	40603.2195	35751.0012	42059.8465	41593.5458	41554.2049	37871.0577	30717.7033	48648.1689	37103.2864	23692.622000000003	41522.6307	51249.4928	46919.5011	39591.4857
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	2443.5084	4324.8799	9222.6425	2375.0868	5024.3798	2756.2305	3700.0761	4655.3518	1406.7159	3441.555	3287.1169	6022.3405	7852.9047	3922.8317	5709.431	3561.3182	7042.8486	3452.4797	3577.2322	2667.5573	7788.9037	4205.6421	3622.9918	6626.4216	6237.8059	6351.6016	8333.3335	5331.4444	4206.0104	3471.8659	3388.0873	2494.0756	4794.223	3815.9816	5253.9231	4200.6179999999995	2478.379	4646.6499	3767.1925	4746.7819	3538.2018	3760.8889	3603.6975	2579.2666	2082.1795	3076.2813	3161.9746
PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	3648.8987	6551.3164	12676.9277	3995.9117	5801.3018	4136.878	4479.7582	5816.3639	3451.5290000000005	4609.5303	4901.6427	8406.3293	10894.4282	4355.9903	6682.7158	4326.4156	9365.2632	4945.1456	4091.4394	4447.8018	9413.6493	4880.7047	4594.2591	8673.038	9150.4048	9969.4154	12393.912	13192.4674	5629.8628	4343.5344	4413.5266	3858.6165	6174.6821	4659.8263	7450.3524	9405.3267	9207.8887	7499.4771	6988.316999999999	6485.1444	4707.9647	6400.6122	5578.0815	3791.4745	2481.1103	4007.9887	6462.2644
PWY-7219	adenosine ribonucleotides de novo biosynthesis	47372.5018	36022.4794	33900.4718	42403.1052	41768.9915	37653.5169	44379.0571	42947.3371	40367.5693	43069.8402	30886.8553	41486.5966	36598.6056	44327.9781	42367.9527	41651.9086	36611.2629	29329.3063	42439.4928	33609.8599	41809.0082	38375.6163	36655.844	38858.2545	43372.7818	37790.3275	34571.635	31595.2412	37356.0447	45612.895	45510.7089	46244.435999999994	45938.1977	41379.1555	36243.9358	40147.7465	39040.649	40078.2418	36264.9145	29922.2549	49219.9067	36420.7379	22895.3586	41603.471	52292.4	47163.3606	38402.6701
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	18558.1635	19444.3429	31953.6373	17164.6633	32324.1646	25954.5346	30164.3576	27444.0131	18629.4627	20154.2332	23904.072999999997	29548.8247	32975.3536	31538.1355	33245.7371	27888.7032	28921.5074	21857.1881	29484.3133	20831.7318	39066.0869	33191.2323	26907.4519	30494.1996	25333.1849	29920.9384	30490.0584	20814.5043	24749.4055	23547.0284	20259.6999	20784.9985	26862.3874	24556.0266	21737.4304	31131.4957	32576.4443	30373.6335	30228.9362	24252.1179	28353.5858	21075.8429	19280.9317	20327.1021	18843.2884	24017.5988	26611.7523
PWY-7221	guanosine ribonucleotides de novo biosynthesis	39955.6614	30902.2628	29713.9172	35804.449	36502.7208	31957.9837	38892.8522	36766.7988	34294.6379	36600.0219	27225.2092	36542.1029	31949.3286	38251.9912	36403.5857	35429.1457	31878.5108	25772.7416	36595.7277	28849.2044	36405.4241	33339.1389	32138.2638	34519.8048	36693.6345	33513.0589	30451.1625	27115.5057	32929.9651	39187.5072	38814.471	39445.9012	39648.6176	35675.747	30650.5926	33978.9384	32877.5835	34473.3749	31028.0609	26115.4279	42761.1383	30950.0075	19824.6789	35117.739	44011.0424	39802.9842	32595.6517
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	18558.1635	19444.3429	31953.6373	17164.6633	32324.1646	25954.5346	30164.3576	27444.0131	18629.4627	20154.2332	23904.072999999997	29548.8247	32975.3536	31538.1355	33245.7371	27888.7032	28921.5074	21857.1881	29484.3133	20831.7318	39066.0869	33191.2323	26907.4519	30494.1996	25333.1849	29920.9384	30490.0584	20814.5043	24749.4055	23547.0284	20259.6999	20784.9985	26862.3874	24556.0266	21737.4304	31131.4957	32576.4443	30373.6335	30228.9362	24252.1179	28353.5858	21075.8429	19280.9317	20327.1021	18843.2884	24017.5988	26611.7523
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	3897.4348	7219.7480000000005	13270.7043	5402.528	5279.6741	4678.2057	4145.403	5476.5931	7168.0525	4461.938	5521.4766	8530.6202	11197.1108	3877.4403	6137.465	4018.952	9321.2087	5196.4352	3683.7171	6103.6793	8925.4801	4454.7233	4376.6801	8504.7095	9452.645	12139.3179	14380.0419	13781.1049	5517.5211	4062.5072	4205.1089	4399.1204	5890.3319	4317.8306	7537.6556	9688.7082	9596.3687	9928.3795	9599.3302	6552.0138	4574.8741	9421.3798	6986.8099	3965.8307	2254.0861	3832.6818	7069.9338
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	34878.4385	30440.8384	34493.5099	31623.814	40251.2426	34439.512	40755.2596	38639.3174	31949.0573	34382.1772	29466.3563	38718.3708	36729.9217	41474.055	40902.9284	37983.8101	35308.0297	27748.0326	39446.1422	29737.8227	42699.6369	38158.4763	34515.6063	37507.4765	37872.0646	36472.595	34427.6922	28550.8209	34007.4202	37953.7053	35532.9204	36225.9213	40135.3575	36316.1476	31941.0615	38457.6605	38168.9109	38038.4609	35299.8956	29109.2181	42674.91	31486.9423	22418.3041	33753.6027	37022.6432	38990.3979	35458.6494
PWY-7234	inosine-5'-phosphate biosynthesis III	1794.0202	2103.7641	3123.1983	2598.4405	3175.7392	7103.0201	5469.6646	2954.1772	2348.7572	2316.7829	5827.0125	2811.1655	7570.7611	4858.0414	5936.4493	8467.6122	2176.4013	3316.7499	4272.0387	3564.6777	2514.9743	7328.4047	5652.441	2742.132	1888.8078	2488.2735	2842.7983	2721.1877	4523.7397	1286.9463	1260.8173	1328.3796	1358.2093	1608.3853	2265.0973	4211.5936	3626.2041	4296.7503	6550.5385	2502.8320000000003	2562.1424	2618.8586	3640.0398	2422.5523	2072.417	3604.3365	3009.4679
PWY-7237	myo-, chiro- and scillo-inositol degradation	1601.01	1242.88	415.43	579.79	645.88	729.45	719.42	1194.7	2180.16	523.07	857.99	603.49	922.69	1112.06	451.67	883.65	555.66	747.3	577.75	503.9	710.2	637.66	535.3	440.99	870.8	670.9	375.74	459.97	712.97	797.47	764.85	382.66	1002.98	533.9	774.86	745.57	586.27	690.75	697.5	486.73	894.21	1446.5	503.41	707.9	1179.34	627.99	813.43
PWY-7242	D-fructuronate degradation	29147.89	23483.6538	27559.3379	26131.202	36346.2648	19799.2925	33139.0039	30428.1512	22631.5753	27294.4199	23040.2015	30022.4454	26768.9805	31876.4883	28213.5722	26044.2205	24231.5172	20014.5428	26977.3333	19104.1668	37397.9965	27422.8611	22807.8907	32670.5808	33840.425	29867.026	25163.3706	16905.8898	26927.6946	37066.6278	35543.174	36954.6127	39076.8597	33981.2885	29063.772	16982.6696	14370.2727	25673.8995	15658.1795	22162.7593	38654.9378	24134.047000000002	14098.7054	28219.3352	32336.7659	29573.7281	20930.2664
PWY-7254	TCA cycle VII (acetate-producers)	531.0922	687.368	862.3341	539.7088	652.1508	998.5876	1407.0737	1332.6699	993.8149	854.6362	1307.7784	1206.2174	1642.5939	1475.1767	925.3882	1142.3269	769.347	2401.3521	1055.8021	1141.7917	789.8611	1138.3296	1182.8362	843.2584	543.4064	455.2083	875.3906	696.1936	647.7322	403.7014	366.8009	490.3396	333.4859	732.2471	526.1982	589.6777	573.4471	572.5366	1110.9823	1156.3336	886.0314	969.5725	791.9698	990.3158	891.8963	1304.2777	1247.0353
PWY-7255	ergothioneine biosynthesis I (bacteria)	16.9924	17.162	8.8594	11.6159	35.1599	27.9928	9.4128	12.4645	5.8382	0.0	1.99	0.0	27.7238	10.4564	7.789	6.9211	16.3428	4.9555	0.0	0.0	25.5217	9.7628	17.0905	15.4133	8.7825	1.9864	3.9692	0.0	20.9398	7.6227	17.9343	13.254000000000001	8.6809	0.0	1.9899	6.8763	19.9271	16.9135	7.5517	22.4892	4.8731	3.9184	1.9848	0.0	12.7821	11.1921	11.2841
PWY-7295	L-arabinose degradation IV	18.7061	32.4473	113.1195	21.62	0.0	41.4337	0.0	0.0	1.9892	0.0	68.4169	0.0	0.0	5.9189	11.0473	18.9557	7.872000000000001	24.8757	67.4748	16.2772	9.8073	13.6453	9.7726	12.4402	11.6729	7.8514	97.6614	13.5	4.6371	5.2526	18.3117	29.1045	0.0	30.3182	80.438	31.7188	38.2289	35.6358	5.8934	3.3176	0.0	7.8373	54.0445	0.0	0.0	0.0	7.8486
PWY-7315	dTDP-N-acetylthomosamine biosynthesis	26873.3047	17066.229	6264.9925	20416.1066	15490.528	13513.293	16878.1843	16466.0046	22322.2963	24721.6776	8107.0124	10362.3428	11482.6091	14201.9257	11869.3583	12815.997	11781.2435	11389.0238	19238.232	12674.5264	12313.9757	13321.9154	12139.5605	12959.8685	21452.176	13669.2289	9738.525	10330.0466	14402.4525	23092.7754	23027.2853	25723.8127	22211.0887	19790.3926	17530.5696	13172.2325	10114.5181	8453.8821	6010.1235	8448.5749	18755.5604	9011.2977	3075.8596	17235.6714	27791.7501	23693.373	11449.6918
PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	6275.9212	8224.6373	8742.8038	8872.754	7335.2128	7285.6411	8262.2645	7859.3718	9245.7678	6577.451999999999	8405.5415	7375.3316	10927.465	5729.8455	5210.6334	7012.9158	6496.1329	7985.7518	5946.9738	9273.7202	6841.6562	7402.269	7261.9889	8178.2805	8331.5328	11469.4534	10016.1959	6658.6251	8224.1887	6059.6945	6699.7846	6742.4435	7365.8947	7115.5768	7224.8689	7228.5106	6697.4861	8408.5777	8373.4205	7690.3726	5857.9651	8989.2836	5728.9248	4374.115	3313.2901	5434.9902	6093.0264
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	6484.278	6730.5589	6191.3423	6873.598000000001	5869.0773	7165.1448	7566.1453	7794.9073	7502.6435	6743.3337	4629.9062	7171.331999999999	4684.529	8074.0073	7896.4893	6878.2098	7736.1186	5978.7789	9353.9558	7952.7017	6885.9595	8563.4608	8445.0601	5540.234	6387.2232	5544.2858	6752.8045	9183.0698	5522.5422	5434.4582	5873.3864	6436.8141	7467.5722	5144.3547	5908.665	9898.8142	6191.7336	6648.9678	7113.9746	6878.4413	7245.7179	8919.5139	3675.2366	8172.9089	6742.6814	9098.7205	8499.7074
PWY-7332	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	2721.9717	2809.9048	1755.336	3075.4389	2703.0609999999997	2726.1147	3135.9011	3309.9311	2833.4792	2077.6929	2686.5551	1937.4196	1947.994	4376.1656	2039.9585	3211.6009	2108.2784	1520.2305	2168.9232	2140.0751	1419.0635	2164.6461	2785.2603	2909.6539	1894.1749	3181.4314	1964.6852	2005.6316	1931.3143	3151.5558	2148.1203	1640.6904	2276.635	1322.0745	2452.6941	678.5165	1003.3596	2585.1107	2716.1706	2002.2877	3307.0926	3361.4738	2349.7104	1854.3161	4131.709	2166.5054	1807.9349
PWY-7347	sucrose biosynthesis III	1.4984	4.4974	7.4976	0.0	13.3705	1.4988	1.4965	0.0	1.4988	2.9905	4.4898	0.0	16.4712	1.4986	2.9992	0.0	4.4989	4.4897	4.4906	1.4993	16.4849	0.0	2.9932	0.0	0.0	5.9977	4.4992	1.4999	11.9348	2.9907	0.0	1.4983	2.9989	7.4569	5.997000000000001	1.4999	14.9914	0.0	0.0	1.4984	2.9905	10.4488	1.4997	0.0	7.4499	0.0	14.9859
PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II	302.9959	225.4367	238.4128	306.07099999999997	279.0539	392.8311	511.1636	454.9932	440.8328	223.8327	240.1437	250.1828	581.3056	115.1647	125.4949	283.6579	194.5022	725.9954	271.1382	325.2872	311.654	385.33	254.9801	253.8253	370.5	274.9831	283.0228	202.9954	385.7762	342.6607	373.1627	224.9912	346.0027	215.1623	230.4799	468.8684	234.4465	892.4964	1330.8335	1737.4935	759.5	2897.9993	912.6616	148.6474	102.9808	239.83	266.6675
PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II	0.0	0.0	0.0	0.0	0.0	0.0	11.7924	0.0	0.0	7.7912	0.0	0.0	0.0	3.8984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8161	0.0	3.9679	0.0	0.0	0.0	3.9691	3.9653	22.8956	3.9474	0.0	3.945	0.0	3.9746	0.0	3.9866	3.991	0.0	0.0	0.0	0.0	3.9209	0.0	15.2376	11.6082
PWY-7374	1,4-dihydroxy-6-naphthoate biosynthesis I	274.8985	201.1518	209.6364	261.7257	251.1168	343.7529	397.4445	440.4638	388.9011	193.1277	210.1551	230.5001	334.1192	84.9812	110.2908	257.303	163.3267	558.8025	236.3305	296.5394	263.7484	263.1482	211.4429	215.1775	341.1911	244.9666	194.8809	157.8256	277.6743	326.2253	356.8225	208.0815	333.19599999999997	200.2196	200.6333	183.1115	93.262	866.763	1314.0567	1671.244	717.48	2863.8049	894.3967	76.1771	77.1058	177.976	159.1477
PWY-7376	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)	212.9699	182.5448	196.4447	91.2887	204.1631	368.4551	264.6087	411.8158	119.3971	115.0139	121.6539	95.8712	126.5727	305.8733	257.2222	498.9905	140.6602	191.9302	66.6743	71.3552	121.8818	258.223	270.6883	370.0031	127.2061	132.3833	85.9546	68.813	106.6667	168.5685	201.3025	268.3336	98.0267	70.2426	72.6428	34.1314	103.9978	313.8687	338.2521	353.1138	102.1606	101.2191	74.4315	19.574	78.8219	190.9125	269.2356
PWY-7377	cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)	1040.476	816.8705	953.7443	1044.1017	1517.7255	2413.9643	1207.8175	1019.7597	2205.5887	1468.8133	965.9815	727.2339999999999	5110.7299	1272.8971	2466.2435	3365.1388	1738.5956	7232.358	4898.5256	4636.3888	2428.7783	5764.3398	6426.6315	735.4451	587.3961	7855.1377	1629.7565	1073.454	2094.9267	812.9582	527.427	535.2697	622.3743	1483.5913	902.0258	1058.8024	694.8509	952.3333	424.0697	527.7525	423.4093	329.4735	457.314	439.9999	370.1158	844.0995	216.3141
PWY-7385	1,3-propanediol biosynthesis (engineered)	21.1385	19.1379	26.430999999999997	12.555	46.0939	23.1727	8.5379	0.0	0.0	0.0	0.0	0.0	6.8403	0.0	13.7713	3.4862	0.0	0.0	3.4856	10.4068	10.3846	6.9578	6.9098	0.0	0.0	0.0	0.0	10.328	10.3422	3.4731	9.1565	3.3708	3.451	0.0	0.0	3.4584	6.8603	3.4614	3.4646	0.0	0.0	0.0	0.0	3.4578	10.1849	6.9024	3.3669
PWY-7391	isoprene biosynthesis II (engineered)	0.0	0.0	3.9785	0.0	30.7343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.2382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.8835	0.0	0.0	0.0	0.0	0.0	0.0	3.9741	31.1545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.9559	0.0	0.0	0.0	3.9789999999999996	0.0	0.0	0.0	19.2316	0.0	0.0
PWY-7392	taxadiene biosynthesis (engineered)	4841.4914	5659.0511	3628.1411	3971.4648	5219.0946	3745.5587	4484.1846	5195.5429	6414.9028	5724.1049	4114.2856	4412.4842	7697.2506	5649.7238	3087.5669	4718.2533	2396.5088	6149.342	5252.5653	5837.8082	4124.0122	4732.0011	7081.9623	3565.3376	3053.7656	10012.4751	3632.5242	3001.0551	5194.5703	4480.7204	4589.8709	5667.2267	4554.775	3388.0521	4455.554	3004.2205	2933.7275	9444.4416	9883.0979	9227.157	5969.4309	13279.4968	6712.7493	2682.5292	2248.6464	4032.9375	3096.0711
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	39734.1699	28952.2246	28234.8068	34928.6788	35030.107	29540.3372	36238.222	35704.9448	31753.6014	35479.9927	24046.4739	34971.5915	27089.5027	37203.3791	35130.3221	33645.2502	31169.1881	23509.5654	35673.7912	26290.0956	35886.4826	30215.6516	29527.3403	32679.3391	35631.8027	29895.9526	27427.5062	26084.7727	30470.0055	38437.9728	38418.4452	39001.2493	38988.7682	34920.1535	30290.092999999997	33835.2488	32947.4271	32731.1383	31974.9915	24849.9664	41326.8027	30190.3936	18666.6146	34691.0208	44207.3588	39475.4826	32014.3361
PWY-7431	aromatic biogenic amine degradation (bacteria)	79.8074	106.5029	117.2314	75.3166	102.6524	131.4362	67.2414	42.2606	37.8307	51.9761	86.1793	43.3586	80.1214	76.7049	35.5255	61.5414	53.2789	78.5115	91.8394	51.2215	81.1274	93.5454	74.8265	62.2771	77.9153	223.2539	85.8488	47.0553	71.41199999999999	62.7614	56.3673	49.9659	42.0178	72.6545	50.7691	59.9561	63.1125	111.9596	95.9463	58.4119	36.2577	92.0002	42.8301	36.5942	53.4061	67.3429	148.6889
PWY-7446	sulfoglycolysis	3.87	1.2101	0.6958	0.57	0.4755	2.6488	10.7783	16.24	12.0493	10.847000000000001	12.3563	14.0415	7.4667	11.6246	10.5962	18.1151	15.2236	13.8476	10.2457	13.4058	7.875	12.1374	3.1084	3.4592	6.532	2.4	2.0895	4.4118	1.5125	2.14	6.6037	5.7608	5.92	6.31	4.7075	5.42	5.6489	5.3138	6.2973	6.5102	6.5557	4.3443	3.5745	5.7235	2.7915	6.0925	9.899
PWY-7456	mannan degradation	966.4366	2012.671	2748.7575	2022.6188	1604.8366	2092.8878	1854.6412	1164.1408	1395.7419	1432.6223	1942.6139	1208.0717	4035.5235	1006.2902	1241.6666	1015.7033	1001.0956	3707.4973	2006.2878	3116.2313	1523.1625	2569.9861	3114.4135	1369.1663	934.3134	5495.9980000000005	1616.4738	760.4878	2063.2324	1113.3402	1703.221	735.2193	1242.8628	1621.4101	1397.342	1283.8543	1309.3478	4548.7367	3011.8186	2624.0129	2268.7419	2936.6592	2481.4516	2718.8791	1828.0762	671.8549	2881.9371
PWY-7527	L-methionine salvage cycle III	23.2736	13.6757	33.4971	9.4858	28.6627	33.8459	17.3264	9.5227	0.0	0.0	0.0	4.9161	13.8163	4.8595	0.0	18.9564	0.0	0.0	0.0	0.0	4.9211	9.6316	9.5437	22.7305	0.0	0.0	0.0	0.0	9.612	21.4424	4.8432	0.0	0.0	0.0	0.0	0.0	4.9084	9.6439	9.0995	4.7455	0.0	0.0	0.0	0.0	19.1893	9.2488	0.0
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	17411.586	15999.1987	13580.6338	17772.4991	16973.8714	13490.8891	18450.8896	16939.3836	15929.0515	16373.9717	13207.7308	19750.6187	17332.2815	18329.6712	17111.6104	16356.2461	16366.2979	14696.2409	18636.3121	16344.5012	14426.192	17410.4337	17865.3535	17255.7995	19252.3749	19514.2763	16410.1491	14293.9293	18640.2039	18816.4694	17977.2815	16296.3936	18247.6435	16350.4229	14888.6358	24358.421000000002	25380.8563	22637.3535	18548.353	14780.1152	24410.7603	16595.2688	11832.7707	22933.2482	22848.2465	22221.1686	23125.8854
PWY-7560	methylerythritol phosphate pathway II	43497.1103	32089.4791	29556.8293	38833.2096	36973.2799	33396.6274	39700.3766	38100.2581	36615.8218	39325.0126	26971.577999999998	36489.1112	32431.0673	39103.5679	37530.2431	37144.1119	32674.6227	26765.0027	38555.0498	30221.2383	36907.5502	34439.9539	32879.1736	34621.3126	39268.8661	34280.9247	30598.5861	28137.8338	33394.7871	41474.9146	41547.7687	42543.3545	41601.5783	37544.1517	32625.6742	35368.4342	33918.57	34398.9599	30788.5029	26014.1228	43833.3412	31953.8362	19497.3629	37021.3423	47739.3152	42579.1552	33512.3075
PWY-7616	methanol oxidation to carbon dioxide	2.8636	9.1911	16.1685	3.4285	14.7257	12.3085	6.765	0.0	4.6955	4.2856	11.0115	3.9069	15.9977	6.4997	10.0428	0.0	10.4991	8.3144	12.2626	6.5779	11.0518	8.8157	12.2914	0.0	2.2857	10.485	18.6295	5.1997	13.2939	10.2624	4.4443	2.7272	4.9089	9.2301	12.5567	5.4096	16.6278	5.5198	7.8745	2.9188	2.8749	18.0577	7.037000000000001	4.3075	10.8285	3.452	19.3454
PWY-7663	gondoate biosynthesis (anaerobic)	47218.2916	34138.3434	34019.6091	43031.544	40254.9794	37214.3391	44457.2485	42282.2781	38710.6639	42378.2945	30100.7408	41344.1327	34624.7809	43841.8564	41680.7785	40960.568	36544.4757	28053.4044	42228.4292	33542.3251	41290.0708	37485.2222	36144.964	38158.9588	42846.5412	38098.8216	33396.9622	30880.5273	36493.4847	45493.5428	45432.3582	46189.0778	45969.0558	40940.0822	35633.9479	40073.1869	39124.8302	39590.323	35225.8286	29402.4342	49246.6708	36291.0892	22329.5737	41284.2654	52100.7752	47080.1416	37955.0081
PWY-7664	oleate biosynthesis IV (anaerobic)	1566.1098	2470.0582	4670.3218	5335.6732	1590.6351	2346.4361	2389.5739	1647.2022	1407.2247	1655.5507	2903.3296	3083.1383	2905.1626	1830.9726	1706.1921	1772.1018	3145.6428	3570.7569	2262.245	6384.9714	2278.1792	3557.8307	2948.73	2592.2619	1709.0645	5207.316	4574.1322	2283.97	5670.9822	1794.0417	1977.7193	1169.0802	1633.0938	1516.8569	1662.9445	1883.8391	2658.3575	3066.1909	1195.0918	1317.1516	931.3693	2062.9388	1294.9104	1242.7246	753.1172	852.7861	1768.1248
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	6652.8052	11198.4875	18014.105	8896.7479	8673.9301	7714.0152	7004.4183	8999.2281	11338.8656	7479.647	8713.9125	13176.8748	16118.9144	6579.8283	9932.5836	6775.5226	13880.3992	8214.8126	6258.4429	9623.0345	13679.8385	7386.7738	7238.3391	13000.1329	14501.6754	17285.5565	19237.549	18258.4185	8924.1518	6890.6759999999995	7116.4484	7427.1468	9671.3102	7233.1806	11646.8901	14632.3938	14457.9586	14863.3219	14202.827	10021.6149	7732.0298	14055.3265	10059.7739	6692.4625	3977.2155	6545.0689	11122.3611
PWY-922	mevalonate pathway I	441.781	1001.9951	531.1049	294.663	554.2879	472.731	573.3833	657.9458	931.2189	833.2153	693.577	628.64	751.3933	931.7173	342.5448	255.09400000000002	173.1384	195.0391	241.7586	601.1507	336.4951	212.7277	654.8998	421.3601	332.3491	335.9032	450.9905	441.7324	851.1863	371.7536	290.0518	211.4649	421.9801	208.4372	572.9465	389.0972	347.5749	1279.5539	1134.3445	753.4589	538.876	372.0909	748.1184	419.8999	362.0201	668.4666	484.6588
PWY0-1061	superpathway of L-alanine biosynthesis	1275.2323	4143.6856	9956.5906	1539.0220000000002	2160.3361	2479.6606	1568.231	1801.5379999999998	1590.4416	1695.8099	2199.4441	6451.1617	4187.5522	2151.8118	4678.3267	2401.9573	7739.0726	2050.9967	1810.1616	2195.0612	7148.2062	1879.3974	2107.7870000000003	4938.3938	5259.5431	6297.7182	10638.0639	14224.7567	2207.8488	1330.9959	1413.7756	1192.5758	3337.5031	1879.2420000000002	5038.9587	8614.5714	8885.7488	5710.5247	2794.4284	1371.098	1327.3175	2374.2171	3159.0203	2934.8104	1273.9753	1752.1846	6347.4626
PWY0-1241	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	631.224	462.7141	580.0656	603.2352	646.311	710.4786	317.4879	939.7453	387.8385	322.4511	389.3784	526.3188	422.5576	353.7551	557.7243	896.3543	651.2677	693.8695	742.8857	901.1689	777.6004	636.6297	327.5257	462.1319	648.8606	442.8512	525.2615	438.1856	342.7237	708.1876	644.0166	551.2168	702.0297	565.9887	584.9087	773.9757	553.5513	1713.7897	2654.0107	2615.6094	1387.7944	4314.8585	1579.2036	323.4277	259.0791	577.4519	434.4996
PWY0-1261	anhydromuropeptides recycling	3840.1967	3969.9583	6291.6539	5838.9637	3441.8305	4490.458	3281.5602	3216.9970000000003	1608.7723	2156.4146	2994.8279	4948.3741	3088.7255	2146.7935	3142.0042	4631.2444	4861.745	3843.6385	4061.4478	4630.4278	3130.3845	3781.6869	3138.1816	5851.0899	2145.3822	6233.4983	4508.5435	3397.4015	2995.3378	1840.1963	1603.3066	2671.4419	1759.3398	2607.2967	2533.9749	6935.5399	7030.4758	7107.156999999999	12685.1909	4525.3514	1589.2659	4283.2179	4576.9229	3872.2555	3156.6515	4385.8171	5721.6508
PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	73.7335	88.335	68.0671	49.3597	97.3928	137.8721	25.8833	27.3738	29.7628	30.1633	17.2838	17.8938	66.3027	54.9891	106.7596	111.0749	99.5467	105.8507	84.9379	115.4755	115.2231	130.3568	39.5756	22.8745	36.8856	35.7224	28.1303	26.8515	55.7308	45.1282	57.1693	65.7598	74.3413	64.2965	43.0713	62.0144	94.3527	105.3811	26.4089	29.8881	27.462	21.4617	12.8983	12.9882	35.1244	54.9445	41.3269
PWY0-1296	purine ribonucleosides degradation	37995.301	27588.862	23223.619	32001.2941	34155.3623	26619.942000000003	35095.5852	33573.6271	31861.4385	34562.5335	23021.5871	30936.57	28445.9473	35575.2005	33381.7248	33541.6906	25451.4999	23410.077	35509.9653	24080.5544	33639.7512	32687.1426	29410.8237	29682.8055	33535.935	28099.6076	22857.1166	19236.1187	28896.8273	37013.2618	36089.2951	36234.6588	36449.5655	32866.4105	27924.2633	30065.1196	28892.1923	30262.8389	25823.7417	23186.0299	40655.169	28499.9981	16927.8364	33926.2855	43882.8792	38758.6565	29765.9615
